Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
Witch King,Martha Wells,,Tordotcom,9781250826800,61963377,digital,to-read,,,,No,432,2023,2023,3.71,United States of America,female,English,Fantasy
The Time Machine,H.G. Wells,,Penguin Books,9780141199344,14801186,paperback,to-read,,,,Yes,106,2012,1895,3.89,India,male,English,Science Fiction
Queenie,Candice Carty-Williams,,Gallery/Scout Press,9781501196034,41224050,digital,to-read,,,,No,336,2019,2019,3.86,United Kingdom,female,English,Fiction
The Rotters' Club,Jonathan Coe,,Knopf Doubleday Publishing Group,9780375713125,41038,paperback,to-read,,,,No,415,2003,2001,3.96,United Kingdom,male,English,Fiction
One for the Murphys,Lynda Mullaly Hunt,,Nancy Paulsen Books (Penguin Group for Young Readers (USA),9780399256158,12926804,hardcover,to-read,,,,No,224,2012,2012,4.33,United States of America,female,English,Realistic Fiction
The Eyre Affair,Jasper Fforde,,Hodder & Stoughton,9780340733561,27005,paperback,to-read,,,,Yes,374,2001,2001,3.89,United Kingdom,male,English,Fantasy
The Fall of the House of Usher,Edgar Allan Poe,,BookSurge Classics,9781594561795,175516,paperback,to-read,,,,No,36,2004,1839,3.87,United States of America,male,English,Classics
I Am a Filipino: And This Is How We Cook,"Miguel Trinidad, Nicole Ponseca",,Artisan,9781579657673,37590385,hardcover,to-read,,,,No,304,2018,,4.43,Philippines,,English,Cookbooks
The Passion,Jeanette Winterson,,Grove Press,9780802135223,15047,paperback,to-read,,,,No,160,1997,1987,4.11,United Kingdom,female,English,Fiction
The Invisible Library,Genevieve Cogman,,Tor UK,9781447256236,21416690,paperback,to-read,,,,Yes,329,2015,2014,3.74,United Kingdom,female,English,Fantasy
Shockaholic,Carrie Fisher,Carrie Fisher (Narrator),Simon & Schuster,9780743563499,13416427,audio,to-read,,,,No,4,2011,2011,3.77,United States of America,female,English,Nonfiction
Every Heart a Doorway,Seanan McGuire,,Tor.com,9780765385505,25526296,hardcover,to-read,,,,No,176,2016,2016,3.81,United States of America,female,English,Fantasy
Dracula Daily,Bram Stoker,Matt Kirkland (Contributor),,,61055723,digital,to-read,,,,No,,,,,"United Kingdom of Great Britain and Ireland, Ireland",male,English,Horror
The Picture of Dorian Gray,Oscar Wilde,,Penguin Classics,9780141439570,489732,paperback,to-read,,,,Yes,253,2003,1890,4.13,"Ireland, France, United Kingdom, United Kingdom of Great Britain and Ireland",male,English,Classics
Queen: The Early Years,Mark Hodkinson,,,,2332716,paperback,to-read,,,,No,,,,,,male,English,Horror
East: 120 Vegan and Vegetarian recipes from Bangalore to Beijing,Meera Sodha,,Fig Tree,9780241387566,44147081,hardcover,to-read,,,,No,304,2019,2019,4.43,,female,English,Cookbooks
The Way of Kings,Brandon Sanderson,,Tor Books,9780765326355,7235533,hardcover,to-read,,,,No,1007,2010,2010,4.66,United States of America,male,English,Fantasy
SIFT: The Elements of Great Baking,Nicola Lamb,,Ebury Digital,9781529906233,201541354,,to-read,,,,No,270,2024,,4.79,,,English,Cookbooks
The Electricity of Every Living Thing,Katherine May,,Trapeze,9781409172512,43511799,paperback,to-read,,,,No,288,2019,2018,4.01,,female,English,Nonfiction
All the Young Men,Ruth Coker Burks,Kevin Carr O'Leary,Grove Press,9780802157249,52580373,hardcover,to-read,,,,No,304,2020,2020,4.49,United States of America,female,English,Nonfiction
