Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
The Hunger Games,Suzanne Collins,,Scholastic Press,9780439023481,2767052,hardcover,read,,5.0,,No,374,2008,2008,4.34,United States of America,female,English,Young Adult
Radikale Zärtlichkeit – Warum Liebe politisch ist,Şeyda Kurt,,,3749901147,56593439,paperback,to-read,,,,No,223,,2021,3.88,Germany,female,German,Nonfiction
Das Gedächtnis von Babel,Christelle Dabos,,,,48894407,digital,read,2022/03/10,5.0,,No,515,,2017,4.21,France,female,German,Fantasy
Dramaqueen: Frauen zwischen Beurteilung und Verurteilung,Tara-Louise Wittwer,,Eden Books - ein Verlag der Edel Verlagsgruppe,9783959103800,61956431,paperback,read,2023/01/24,4.0,,No,224,2022,,4.37,Germany,female,German,Nonfiction
Unser kostbares Leben,Katharina Fuchs,,Droemer,9783426282656,59957747,hardcover,to-read,,,,No,624,2021,2021,3.85,Germany,female,German,Biographic Fiction
Where You Come From,Saša Stanišić,Damion Searls (Translator),Jonathan Cape,9781787332782,58349380,hardcover,to-read,,,,No,368,2021,2019,4.16,"Bosnia, Germany",male,English,Fiction
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,"John Tenniel (Illustrator), Martin Gardner (Contributor)",Penguin Group (USA),9780451527745,186664566,paperback,to-read,,,,No,239,2000,1871,4.06,United States of America,male,English,Fantasy
Die Verlobten des Winters,Christelle Dabos,"Laura Maire (Narrator), Amelie Thoma (Translator)",der Hörverlag,9783844533576,45281912,audio,read,2022/02/18,5.0,,No,0,2019,2013,4.02,France,female,German,Fantasy
Die dunkle Seite des Mondes,Martin Suter,,Diogenes,9783257233018,1688598,paperback,read,2022/09/08,4.0,,No,315,2001,2000,3.91,Switzerland,male,German,Fiction
The Midnight Library,Matt Haig,,Canongate Books Ltd.,9781786892737,56578056,paperback,to-read,,,,No,288,2021,2020,3.99,United Kingdom,male,English,Fiction
Twilight,Stephenie Meyer,,"Little, Brown and Company",9780316015844,41865,paperback,read,,4.0,,No,498,2006,2005,3.66,United States of America,female,English,Fantasy
Divergent,Veronica Roth,,Katherine Tegen Books,9780062024039,13335037,paperback,read,,4.0,,No,487,2012,2011,4.14,United States of America,female,English,Young Adult
"Leben, schreiben, atmen. Eine Einladung zum Schreiben",Doris Dörrie,,Diogenes,9783257070699,49890125,hardcover,did-not-finish,,,,No,288,2019,,4.01,Germany,female,German,Nonfiction
Der Gesang der Flusskrebse,Delia Owens,"Luise Helm (Narrator), Ulrike Wasel (Translator), Klaus Timmermann (Translator)",Hörbuch Hamburg,9783957131775,50026832,audio,read,2022/03/16,5.0,,No,12,2019,2018,4.38,United States of America,female,German,Fiction
Persepolis: The Story of a Childhood,Marjane Satrapi,"Blake Ferriss (Translator), Mattias Ripa (Translator)",Pantheon,9780375714573,9516,paperback,read,2023/01/11,,,No,153,2004,2003,4.26,"France, Iran",female,English,Graphic Novels
The Picture of Dorian Gray,Oscar Wilde,Peter Ackroyd,Penguin Classics,9780140431872,87809,paperback,to-read,,,,No,264,1985,1890,4.13,"Ireland, France, United Kingdom, United Kingdom of Great Britain and Ireland",male,English,Classics
Unterwegs in Albanien,Franziska Tschinderle,,Dumont,9783770166350,56696595,paperback,currently-reading,,,,No,276,2020,,4.33,Austria,female,German,Nonfiction
Die Idiotin,Elif Batuman,Eva Kemper (Translator),"FISCHER, S.",9783100040022,41442789,hardcover,to-read,,,,No,0,2017,2017,3.66,United States of America,female,German,Fiction
What a Time to be Alone,Chidera Eggerue,,,,38744579,digital,read,,5.0,,No,192,,2018,3.77,United Kingdom,female,English,Nonfiction
Sofies Welt,Jostein Gaarder,Gabriele Haefs (Translator),Dtv,9783423620000,118019,paperback,to-read,,,,No,622,2004,1991,3.96,Norway,male,German,Fiction
Range: Why Generalists Triumph in a Specialized World,David Epstein,,Riverhead Books,9780735214484,41795733,hardcover,to-read,,,,No,352,2019,2019,4.14,United States of America,male,English,Nonfiction
Herzfaden,Thomas Hettche,,Kiepenheuer & Witsch,9783462052565,55008107,hardcover,read,2023/02/27,5.0,,No,288,2020,2020,4.06,"Germany, Switzerland",male,German,Historical Fiction
Divergent Official Illustrated Movie Companion,Kate Egan,,Katherine Tegen Books,9780062315632,18469079,digital,read,,4.0,,No,160,2014,2014,4.32,,female,English,Dystopia
"Die Freiheit, allein zu sein: Eine Ermutigung",Sarah Diehl,,Arche Literatur Verlag,9783716028001,63204326,paperback,to-read,,,,No,368,2022,,4.13,Germany,female,German,Nonfiction
Gone with the Wind,Margaret Mitchell,Tanti Lesmana (Translator),Gramedia Pustaka Utama,9789792200324,3407196,hardcover,to-read,,,,No,1124,2002,1936,4.31,United States of America,female,other,Historical Fiction
Heumahd: Roman,Susanne Betz,,,9783570103456,71899338,,read,2024/08/31,3.0,,No,321,,2022,4.19,Germany,female,German,Fiction
Der perfekte Kreis,Benjamin Myers,"Ulrike Wasel (Translator), Klaus Timmermann (Translator)",Dumont,9783832181581,58531298,hardcover,to-read,,,,No,217,2021,2022,3.92,United Kingdom,male,German,Fiction
Eva: Roman,Verena Keßler,,Hanser,9783446275881,123161824,hardcover,to-read,,,,No,208,2023,,4.29,Germany,female,German,Feminism
Radio Sarajevo,Tijan Sila,,Hanser Berlin,9783446277267,198102375,hardcover,to-read,,,,No,172,2023,2023,4.47,Bosnia and Herzegovina,male,German,German Literature
Der Fänger im Roggen,J.D. Salinger,Eike Schönfeld (Translator),Rowohlt Tb.,9783499235399,2319821,paperback,to-read,,,,No,270,2004,1951,3.80,United States of America,male,German,Classics
Sapiens,Yuval Noah Harari,,Harvill Secker,9781846558238,19186348,paperback,read,2023/06/20,5.0,,No,456,2014,2011,4.36,Israel,male,English,Nonfiction
Pick me Girls,Sophie Passmann,,Kiepenheuer&Witsch,9783462004205,199124269,hardcover,did-not-finish,,,,No,224,2023,2023,3.42,Germany,female,German,Nonfiction
Die Wahrheit über das Lügen,Benedict Wells,,Diogenes,9783257070309,39880835,hardcover,to-read,,,,No,240,2018,2019,4.01,"Switzerland, Germany",male,German,Short Stories
Der Club,Takis Würger,,Kein & Aber,9783036957531,33399768,hardcover,to-read,,,,No,237,2017,2017,3.67,Germany,male,German,Fiction
