Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
Herbst,Ali Smith,Silvia Morawetz,Luchterhand Literaturverlag,9783641222963,48588558,digital,read,,0,,No,273,2019,2016,3.67,United States of America,female,German,Fiction
Outline,Rachel Cusk,,Faber & Faber,9780571233625,21400742,hardcover,read,,3,,No,249,2014,2014,3.68,"United Kingdom, Canada",female,English,Fiction
Faust. Der Tragödie Erster Teil,Johann Wolfgang von Goethe,,Reclam,,1095059,paperback,read,,0,,No,135,1986,1808,3.85,"Saxe-Weimar-Eisenach, Germany",male,German,Classics
Aquarellmalerei für Einsteiger. Schritt für Schritt zum Erfolg.,Barbara Eisenbarth,,"Augustus Vlg., Augsb.",9783804301726,82388107,paperback,read,,0,,No,0,1992,,0.0,Germany,female,German,N/A
Unsichtbare Frauen: Wie eine von Männern gemachte Welt die Hälfte der Bevölkerung ignoriert,Caroline Criado Pérez,Stephanie Singh,Btb,9783442718870,51798336,paperback,read,,0,,No,494,2020,2019,4.35,United Kingdom,female,German,Nonfiction
Portrait in Sepia,Isabel Allende,Margaret Sayers Peden,Harper Perennial,9780060898489,85987,paperback,read,2024/05/31,2,,No,304,2006,2000,4.01,"United States of America, Chile, Peru",female,English,Fiction
Kafka am Strand,Haruki Murakami,Ursula Gräfe,btb,9783442733231,836232,paperback,read,2024/05/27,5,,No,637,2006,2002,4.13,Japan,male,German,Fiction
Der Hausmann,Wlada Kolosowa,Raul Soria,Leykam,9783701182534,62038167,hardcover,to-read,,0,,No,320,2022,,4.20,"Germany, Russia",female,German,German Literature
Kafka on the Shore,Haruki Murakami,Philip Gabriel,Vintage International,,4929,paperback,to-read,,0,,No,467,2006,2002,4.13,Japan,male,English,Fiction
Walden,Henry David Thoreau,Bill McKibben,Princeton University Press,,16902,paperback,to-read,,0,,No,352,2004,1854,3.78,United States of America,male,English,Philosophy
"Origin (Robert Langdon, #5)",Dan Brown,,Doubleday ,,32307358,digital,to-read,,5,,No,482,2017,2017,3.89,United States of America,male,English,Fiction
Der Wind kennt meinen Namen,Isabel Allende,Svenja Becker,Suhrkamp Verlag ,9783518432006,204120067,hardcover,to-read,,0,,No,350,2024,2023,4.03,"United States of America, Chile, Peru",female,German,Historical Fiction
Über die Zeit. Arbeiten zur Wissenssoziologie II.,Norbert Elias,Michael Schröter,Suhrkamp,9783518283561,1366291,paperback,to-read,,0,,No,196,2000,1988,3.83,"United Kingdom, Germany, Poland",male,German,Philosophy
Homo Prospectus,Martin E.P. Seligman,"Peter Railton, Roy F. Baumeister, Chandra Sripada",Oxford University Press,9780199374472,30008358,hardcover,to-read,,0,,No,400,2016,,4.15,United States of America,male,English,Psychology
Das leichte Leben,Thomas Melle,,Kiepenheuer & Witsch,9783462002577,61084620,hardcover,to-read,,0,,No,352,2022,,2.86,Germany,male,German,N/A
Die Welt im Rücken,Thomas Melle,,Rowohlt Berlin,9783871341700,31616298,hardcover,read,2024/03/18,5,,No,352,2016,2016,4.03,Germany,male,German,Nonfiction
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,Andrew Postman,Penguin Books,9780143036531,74034,paperback,to-read,,0,,No,184,2005,1985,4.15,United States of America,male,English,Nonfiction
Wie schön wir waren,Imbolo Mbue,,Kiepenheuer & Witsch,9783462054705,59051937,hardcover,read,2024/03/01,2,,No,448,2021,2021,3.95,"United States of America, Cameroon",female,German,Fiction
Schöne neue Welt,Aldous Huxley,,Fischer Taschenbuch Verlag,9783596200269,3211111,paperback,read,,0,,No,290,1981,1932,3.99,United Kingdom,male,German,Classics
Gebaute Lebensräume.,Dieter Wieland,,Vbt Verlag Bau U. Technik,9783764002305,6342557,paperback,read,2024/02/15,0,,No,0,1987,,4.50,Germany,male,German,Nonfiction
Links Ist Nicht Woke,Susan Neiman,Christiana Goldmann,Hanser Berlin,9783446278028,198810732,hardcover,to-read,,0,,No,176,2023,2023,3.59,United States of America,female,German,Philosophy
Melancholy,Jon Fosse,"Damion Searls, Grethe Kvernes",Dalkey Archive Press,9781564784513,118449,paperback,to-read,,0,,No,284,2006,1995,3.85,Norway,male,English,Fiction
Gewässer im Ziplock,Dana Vowinckel,,Suhrkamp Verlag,9783518473603,196879645,hardcover,read,2024/01/03,3,,No,362,2023,,4.31,Germany,female,German,German Literature
Der Unbesiegbare,Stanisław Lem,,Suhrkamp Verlag AG,9783518389591,953518,paperback,to-read,,0,,No,227,1995,1964,4.15,Poland,male,German,Science Fiction
August Blue,Deborah Levy,,"Farrar, Straus and Giroux",,62039277,hardcover,read,2023/12/28,0,,No,208,2023,2023,3.68,"United Kingdom, South Africa",female,English,Fiction
Kleine Probleme,Nele Pollatschek,,Kiepenheuer & Witsch eBook,9783869712406,128605480,hardcover,read,2023/12/26,3,,No,192,2023,,3.59,Germany,non-binary,German,Fiction
Verborgen (Mörderisches Island #3),Eva Björg Ægisdóttir,,Kiepenheuer & Witsch eBook,9783462312218,128607300,digital,to-read,,0,,No,0,2024,2020,3.97,Iceland,female,German,Mystery
"Tantra Illuminated: The Philosophy, History, and Practice of a Timeless Tradition",Christopher D. Wallis,,Anusara Press,9781937104016,15731041,paperback,to-read,,0,,No,506,2011,2011,4.54,,male,English,Spirituality
Die Klavierspielerin,Elfriede Jelinek,,"Gesamtherstellung Clausen & Bosse, Leck",9783499158124,196000,paperback,to-read,,0,,No,285,1997,1983,3.58,Austria,female,German,Fiction
Der Leopard,Giuseppe Tomasi di Lampedusa,Charlotte Birnbaum,Piper Verlag,9783492203203,283886,broschiert,to-read,,0,,No,352,2007,1958,4.01,"Italy, Kingdom of Italy",male,German,Fiction
Faserland,Christian Kracht,,Dtv,9783423129824,217381,paperback,to-read,,0,,No,160,2002,1995,3.64,Germany,male,German,Fiction
Das ist Alise,Jon Fosse,,Rowohlt Taschenbuch,9783499238741,1845973,paperback,read,2023/12/01,4,,No,116,2005,2004,3.69,Norway,male,German,Fiction
Zähne zeigen,Zadie Smith,,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co.",9783426195468,3714,hardcover,to-read,,0,,No,642,2001,2000,3.79,United Kingdom,female,German,Fiction
Wie Sterben geht,Andreas Pflüger,,Suhrkamp Verlag,9783518777558,125547797,digital,to-read,,0,,No,473,2023,,4.62,Germany,male,German,Thriller
Die Attentäterin,Yasmina Khadra,,Deutscher Taschenbuch Verlag,9783423136457,23289880,paperback,to-read,,0,,No,272,2008,2005,3.85,Algeria,male,German,Fiction
Die Wand,Marlen Haushofer,Klaus Antes,Ullstein,9783548605715,1132217,paperback,read,2023/10/15,5,,No,285,2004,1963,4.04,Austria,female,German,Fiction
"Baustellen der Nation: Was wir jetzt in Deutschland ändern müssen | Das lang ersehnte Buch zum Podcast ""Lage der Nation"" (German Edition)",Philip Banse,Ulf Buermeyer,Ullstein eBooks,,125083585,digital,read,,0,,No,463,2023,,4.47,Germany,male,German,Nonfiction
The Cost of Living: A Working Autobiography,Deborah Levy,,Bloomsbury Publishing,9781635571912,36820477,hardcover,read,2023/10/08,4,,No,144,2018,2018,4.18,"United Kingdom, South Africa",female,English,Nonfiction
Goethe - Kunstwerk des Lebens,Rüdiger Safranski,,Carl Hanser Verlag GmbH & Co. KG,9783446235816,18454810,hardcover,read,,0,,No,752,2013,2013,4.21,Germany,male,German,Biography
Vor dem Gesetz sind nicht alle gleich: Die neue Klassenjustiz,Ronen Steinke,,Berlin Verlag,9783827014153,59754830,hardcover,to-read,,0,,No,272,2022,,4.45,Germany,male,German,Nonfiction
Meter pro Sekunde,Stine Pilgaard,Hinrich Schmidt-Henkel,Kanon,9783985680115,59796748,hardcover,read,,0,,No,253,2022,2020,3.79,Denmark,female,German,Fiction
Der Tag endet mit dem Licht,Denis Pfabe,,Rowohlt Berlin,9783737100434,41707525,hardcover,read,2023/08/25,4,,No,192,2018,,3.53,Germany,male,German,N/A
Young Mungo,Douglas Stuart,,Grove Press,9780802159557,58891551,hardcover,read,2023/08/18,5,,No,390,2022,2022,4.38,"United Kingdom, United States of America",male,English,Fiction
La casa de Bernarda Alba,Federico García Lorca,"Paola Bianco, Antonio Sobejano-Moran",Focus,9781585101436,22995,paperback,to-read,,0,,No,96,1945,1930,3.86,Spain,male,English,Plays
Liebesgedichte - Federico García Lorca,Federico García Lorca,,Reclam,9783150193914,38311802,paperback,read,2023/08/13,0,,No,128,2016,,4.33,Spain,male,German,Poetry
Stay Away from Gretchen: Eine unmögliche Liebe,Susanne Abel,,dtv,9783423282598,56178609,hardcover,to-read,,0,,No,528,2021,2021,4.50,Germany,female,German,Fiction
Das Ende der Ehe. Für eine Revolution der Liebe,Emilia Roig,,Ullstein eBooks,,75569071,digital,to-read,,0,,No,408,2023,2023,4.40,France,female,German,Nonfiction
Time Is a Mother,Ocean Vuong,,Penguin Press,9780593300237,58582927,hardcover,read,2023/08/10,0,,No,114,2022,2022,3.95,"United States of America, Vietnam",male,English,Queer
Krankheit als Symbol: Handbuch der Psychosomatik,Ruediger Dahlke,"Margit Dahlke, Christine Stecher, Robert Hößl, Volker. Zahn","Bertelsmann Verlag GmbH (Belletristik, Kinder- u. Jugendbuch) Sachbuch",9783570122655,1560725,hardcover,to-read,,0,,No,,2002,1996,4.42,"Austria, Germany",male,German,chronic-illness
Die Liebe an miesen Tagen,Ewald Arenz,,DUMONT Buchverlag,9783832182779,75367601,digital,read,2023/08/06,3,,No,384,2023,2023,3.65,Germany,male,German,Fiction
Von Mäusen und Menschen,John Steinbeck,,Dt. Taschenbuch-Verlag,9783423107976,942442,paperback,read,2023/07/26,4,,No,113,1987,1937,3.89,United States of America,male,German,Fiction
